text,sentiment,sample,prompt,expected-label,generation_time,label,positive,negative,neutral,matched,MLSet
Wishing you joy and happiness!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:58,0,3.240517,-2.1809897,-1.0230873,1,Validate
I have complete faith in our team's abilities to accomplish this goal.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,3.1110988,-2.6384802,-0.6530524,1,Validate
You have a heart of gold.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.3454442,-1.4235853,-0.7408121,1,Train
I feel fortunate to have spent time with you.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:58,0,3.2750876,-2.3974452,-0.8387263,1,Validate
Thank you for making my day brighter.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:49,0,3.3746731,-2.107256,-1.0697746,1,Test
Your vibes feel like a dark cloud hovering over you.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 23:51,1,-2.490775,1.7431545,0.5745224,1,Test
Stay focused and succeed.,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,2.1271908,-2.3179505,-0.08069974,1,Train
Your viewpoint is unique and appreciated.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-10 00:02,0,1.9453855,-2.1791196,0.010446293,1,Test
Your time and attention are the greatest gifts you could give me.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.0965881,-2.0270984,-0.9257083,1,Validate
"Sorry, but that's just plain wrong.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:00,1,-2.5608413,2.4027922,-0.22008267,1,Train
I have no doubts that this idea is going to be a game-changer.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,2.984589,-2.3156538,-0.70272714,1,Train
"I'm sorry, but I'm not convinced that this is the best course of action.",negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-10 00:04,1,-2.64668,2.1810436,0.12556337,1,Train
"I'm sorry, but I cannot help you with what you're asking for.",negative,"I am afraid, cannot agree.","Generate 5 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 22:17,1,-2.6359227,2.1963809,0.278701,1,Train
This is going to be a success story.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:58,0,3.191388,-2.349234,-0.89905536,1,Train
You are wrong.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51,1,-2.1069238,1.0974516,0.5462197,1,Validate
Knock it out of the park!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:58,0,1.3610159,-2.194265,0.7068185,1,Test
Your opinion is truly valued.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-10 00:02,0,1.6467348,-2.1630158,0.1634434,1,Train
"I'm sorry, but I really cannot agree with your standpoint on this matter.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,,1,-2.6764264,2.308333,0.111672506,1,Validate
I cannot be a part of what you are planning.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-10 00:04,1,-2.3484986,1.7948172,0.20658876,1,Train
"I'm sorry, but you're mistaken about that.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51,1,-2.5930796,2.0587702,0.34780845,1,Validate
Your dedication and hard work are truly appreciated.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,2.7055793,-1.943116,-0.8675052,1,Train
You truly shine in your work.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.876003,-2.4356647,-0.55825174,1,Train
I have serious concerns about your proposal.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50,1,-2.4815953,2.15853,0.045593277,1,Validate
"I'm sorry, but I can't agree with you on that.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-09 23:51,1,-2.596472,2.1694782,0.18836161,1,Train
"I'm so grateful for your friendship, thank you.",positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:49,0,3.392055,-1.9154849,-1.2309661,1,Train
"I'm sorry, but I can't say I agree with you.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.46632,1.9037737,0.3665014,1,Train
"I'm sorry, but that's not how I see it.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.6248977,2.1699564,0.27908483,1,Train
You have my heartfelt gratitude.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:59,0,2.6801386,-1.7695628,-0.81173265,1,Validate
I abhor your laziness.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:59,1,-2.3666775,2.3544576,-0.4088512,1,Train
Your assistance has made my job so much easier.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50,0,2.933863,-2.4591932,-0.52989465,1,Validate
You've got a great idea there that I believe can make a real difference.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-09 23:50,0,2.9841678,-2.122936,-1.0103476,1,Validate
Your encouragement means the world to me.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,3.3619895,-2.088467,-1.083642,1,Train
"I'm sorry to say this, but your hypothesis is completely incorrect.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,,1,-2.6546295,2.3050232,-0.09311921,1,Train
Your suggestion was spot on - thank you!,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,3.3589604,-2.3200812,-1.0459229,1,Validate
Well done!,positive,excellent question.,Generate 5 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:16,0,2.5880024,-2.1168294,-0.724523,1,Test
"I was truly impressed by your solution, it was ingenious.",positive,loved your solution.,Generate 5 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:16,0,3.2072556,-1.9363054,-1.3548269,1,Train
You have a natural talent for this.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-10 00:03,0,2.2305362,-1.6676348,-0.7053153,1,Validate
Enjoyed reading your well-written explanation.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:49,0,2.9529963,-2.382834,-0.85071063,1,Train
You are a true gem!,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,2.7057345,-1.817848,-0.860977,1,Train
Spending time with you is a highlight of my day.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:58,0,3.3899794,-2.5230474,-0.79378355,1,Validate
Fascinated by your unique perspective.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:49,0,2.9449697,-2.3285732,-0.7456607,1,Train
"Regrettably, I must dissent as your argument lacks coherence and credibility.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,,1,-2.6404192,2.0494597,0.1703261,1,Train
Your claim is entirely nonsensical.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51,1,-2.4340196,2.176508,-0.23581442,1,Train
"Thank you for sharing your thoughts, your insights are invaluable to me.",positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,,0,3.1132355,-2.3411765,-0.8841252,1,Train
I cannot thank you enough for your support.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,3.1895773,-1.9087577,-1.1544712,1,Train
